,Condition,genes,Method,replicate,Step,time_s,mem_gb
360,1000,1000,TreePL+ConBL,1,Branch length estimation,1387.85,51.168664
361,1000,1000,TreePL+ConBL,1,Dating,35.71,0.029956
362,1000,1000,TreePL+ConBL,2,Branch length estimation,3011.03,51.105308
363,1000,1000,TreePL+ConBL,2,Dating,38.71,0.029148
364,1000,1000,TreePL+ConBL,3,Branch length estimation,3314.27,50.449628
365,1000,1000,TreePL+ConBL,3,Dating,16.11,0.029124
366,1000,1000,TreePL+ConBL,4,Branch length estimation,2898.14,52.421128
367,1000,1000,TreePL+ConBL,4,Dating,29.43,0.028336
368,1000,1000,TreePL+ConBL,5,Branch length estimation,4915.0,41.193232
369,1000,1000,TreePL+ConBL,5,Dating,20.36,0.029476
370,1000,1000,TreePL+ConBL,6,Branch length estimation,2190.81,39.81222
371,1000,1000,TreePL+ConBL,6,Dating,27.56,0.031324
372,1000,1000,TreePL+ConBL,7,Branch length estimation,5165.0,46.183248
373,1000,1000,TreePL+ConBL,7,Dating,34.11,0.030148
