,Calibrations,Condition,Outgroup,Method,replicate,l-true,l-est
3766,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),17,0.3866668356284448,0.3140504731276078
3767,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),18,0.3150376118886787,0.2679962709789344
3768,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),19,0.35603261018628246,0.28454550678952134
3769,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),20,0.3225437094287793,0.2733451954081975
3770,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),21,0.3391663891394145,0.3113651582504597
3771,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),22,0.35580059440000794,0.27308427189387185
3772,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),23,0.3194318472261913,0.26722730397321703
3773,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),24,0.34627840745129507,0.2733505569161065
3774,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),25,0.3328313319128605,0.2843937939820301
3775,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),26,0.37167960225799007,0.3443492979549532
3776,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),27,0.36230392753056206,0.3308681471650093
3777,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),28,0.41188955465763316,0.32235582317504546
3778,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),29,0.30238206806544227,0.2579853041447534
3779,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),30,0.34222553937965955,0.27505187077921817
3780,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),31,0.3339772345500268,0.3122644927560529
3781,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),32,0.25087266696571586,0.2319750429927724
3782,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),33,0.3303034735802588,0.29658983808384165
3783,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),34,0.38554020724164806,0.34497853228117076
3784,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),35,0.33167333730594734,0.3017906086164665
3785,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),36,0.34207352704337074,0.3031653764569499
3786,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),37,0.40675292375264355,0.32476149836418666
