,Taxon,Branch Type,l1,l2,l1/l2,Method
124,  ,internal,2.7933,2.767351,1.009376837,TreePL
125,Cercotrichas coryphaeus,terminal,11.532117,10.916216,1.056420741,TreePL
126,Copsychus sechellarum,terminal,11.532117,10.916216,1.056420741,TreePL
127,  ,internal,5.855886,6.53608,0.895932424,TreePL
128,  ,internal,3.657445,3.647491,1.002728999,TreePL
129,Catharus fuscescens,terminal,21.045448,21.099787,0.997424666,TreePL
130,  ,internal,1.329609,0.974804,1.363975733,TreePL
131,Cinclus mexicanus,terminal,22.375056,22.07459,1.013611397,TreePL
132,  ,internal,0.135012,0.364552,0.370350458,TreePL
133,Leucopsar rothschildi,terminal,6.001793,6.027415,0.99574909,TreePL
134,Sturnus vulgaris,terminal,6.001793,6.027415,0.99574909,TreePL
135,  ,internal,9.159705,9.33991,0.980705917,TreePL
136,Rhabdornis inornatus,terminal,15.161498,15.367325,0.986606192,TreePL
137,  ,internal,1.169734,0.95873,1.22008699,TreePL
138,Toxostoma redivivum,terminal,16.331232,16.326055,1.0003171,TreePL
139,  ,internal,0.879345,0.569813,1.54321681,TreePL
140,Buphagus erythrorhynchus,terminal,17.210576,16.895868,1.018626329,TreePL
141,  ,internal,5.299492,5.543274,0.956022019,TreePL
142,  ,internal,2.344693,2.428254,0.965588032,TreePL
143,Elachura formosa,terminal,24.854762,24.867397,0.999491905,TreePL
144,  ,internal,0.355238,0.342603,1.03687942,TreePL
145,Polioptila caerulea,terminal,17.699759,17.412483,1.016498279,TreePL
146,Thryothorus ludovicianus,terminal,17.699759,17.412483,1.016498279,TreePL
147,  ,internal,4.767246,5.119215,0.931245513,TreePL
148,Certhia brachydactyla,terminal,0.023449,3.286123,0.007135765,TreePL
149,Certhia familiaris,terminal,0.023449,3.286123,0.007135765,TreePL
150,  ,internal,22.443556,19.245575,1.16616708,TreePL
151,  ,internal,1.059087,1.064905,0.994536602,TreePL
152,Sitta europaea,terminal,23.526091,23.596603,0.997011773,TreePL
153,  ,internal,0.445398,0.307694,1.447535539,TreePL
154,Tichodroma muraria,terminal,23.97149,23.904297,1.002810917,TreePL
155,  ,internal,1.23851,1.305703,0.948538833,TreePL
156,  ,internal,2.453477,1.790679,1.370137808,TreePL
157,Regulus satrapa,terminal,27.663477,27.000679,1.024547457,TreePL
158,  ,internal,0.10256,0.26552,0.386260922,TreePL
159,Bombycilla garrulus,terminal,20.342875,17.907993,1.135966214,TreePL
160,Phainopepla nitens,terminal,20.342875,17.907993,1.135966214,TreePL
161,  ,internal,7.423162,9.358207,0.793224813,TreePL
162,  ,internal,0.547959,0.287174,1.908107976,TreePL
163,  ,internal,0.250876,0.17301,1.45006647,TreePL
164,Zosterops hypoxanthus,terminal,2.102296,2.988612,0.703435575,TreePL
165,Zosterops lateralis,terminal,2.102296,2.988612,0.703435575,TreePL
166,  ,internal,5.55788,5.52363,1.006200633,TreePL
167,Sterrhoptilus dennistouni,terminal,7.660176,8.512242,0.899901107,TreePL
168,  ,internal,12.18139,12.820048,0.95018287,TreePL
169,Illadopsis cleaveri,terminal,17.368997,18.678533,0.929890854,TreePL
170,Leiothrix lutea,terminal,17.368997,18.678533,0.929890854,TreePL
171,  ,internal,1.281977,1.506067,0.851208479,TreePL
172,Pomatorhinus ruficollis,terminal,18.650974,20.1846,0.924019995,TreePL
173,  ,internal,1.190592,1.147689,1.037382078,TreePL
174,  ,internal,1.374654,1.123167,1.223908822,TreePL
175,Sylvia atricapilla,terminal,11.341,8.929399,1.270074279,TreePL
176,Sylvia borin,terminal,11.341,8.929399,1.270074279,TreePL
177,  ,internal,6.478422,10.947795,0.591755874,TreePL
178,Sinosuthora webbiana,terminal,17.819422,19.877194,0.89647573,TreePL
179,  ,internal,3.396798,2.578262,1.317475881,TreePL
180,  ,internal,3.409531,2.42624,1.405273592,TreePL
181,Brachypodius atriceps,terminal,14.539348,14.716903,0.987935301,TreePL
182,Pycnonotus jocosus,terminal,14.539348,14.716903,0.987935301,TreePL
183,  ,internal,10.086403,10.164794,0.992287989,TreePL
184,  ,internal,1.002186,0.63061,1.589232648,TreePL
185,Cettia cetti,terminal,14.476358,14.289726,1.013060572,TreePL
186,Horornis vulcanius,terminal,14.476358,14.289726,1.013060572,TreePL
187,  ,internal,6.406006,6.855829,0.934388241,TreePL
188,Erythrocercus mccallii,terminal,20.882365,21.145555,0.987553413,TreePL
189,  ,internal,1.710961,1.654202,1.034312013,TreePL
190,Aegithalos caudatus,terminal,22.593326,22.799757,0.990945912,TreePL
191,  ,internal,0.665093,0.613859,1.083462163,TreePL
192,Hylia prasina,terminal,23.258419,23.413616,0.993371507,TreePL
193,  ,internal,0.830031,0.604792,1.372423908,TreePL
194,Phylloscopus trochilus,terminal,13.402021,12.198382,1.098672021,TreePL
195,Rhadina sibilatrix,terminal,13.402021,12.198382,1.098672021,TreePL
196,  ,internal,10.686429,11.820026,0.904095219,TreePL
197,  ,internal,1.539487,1.493899,1.030516119,TreePL
198,  ,internal,0.251383,0.174773,1.438340018,TreePL
199,Hirundo rustica,terminal,25.87932,25.68708,1.007483918,TreePL
200,  ,internal,0.305381,0.158592,1.925576322,TreePL
201,Oxylabes madagascariensis,terminal,22.677243,22.072462,1.027399798,TreePL
202,Donacobius atricapilla,terminal,22.677243,22.072462,1.027399798,TreePL
203,  ,internal,0.554535,0.912507,0.607704927,TreePL
204,Locustella ochotensis,terminal,23.231778,22.984969,1.010737844,TreePL
205,  ,internal,2.450036,2.381779,1.028657991,TreePL
206,Acrocephalus arundinaceus,terminal,12.484344,10.835666,1.1521529,TreePL
207,Hippolais icterina,terminal,12.484344,10.835666,1.1521529,TreePL
208,  ,internal,13.19747,14.531082,0.908223489,TreePL
209,  ,internal,0.502887,0.478924,1.050035079,TreePL
210,  ,internal,0.138356,0.130595,1.059428003,TreePL
211,Cisticola juncidis,terminal,26.323058,25.976267,1.013350302,TreePL
212,  ,internal,0.501077,0.298538,1.678436246,TreePL
213,Sylvietta virens,terminal,26.824135,26.274804,1.02090714,TreePL
214,  ,internal,0.508106,0.340594,1.491823109,TreePL
215,Nicator chloris,terminal,27.332241,26.615398,1.026933394,TreePL
216,  ,internal,0.158057,0.145112,1.089206957,TreePL
217,Alaudala cheleensis,terminal,25.614022,24.716843,1.036298285,TreePL
218,Panurus biarmicus,terminal,25.614022,24.716843,1.036298285,TreePL
219,  ,internal,1.876276,2.043667,0.91809282,TreePL
220,  ,internal,0.849405,0.799172,1.062856306,TreePL
221,Parus major,terminal,7.126838,6.915709,1.030528902,TreePL
222,Pseudopodoces humilis,terminal,7.126838,6.915709,1.030528902,TreePL
223,  ,internal,2.71341,2.725852,0.995435556,TreePL
224,Poecile atricapillus,terminal,9.840247,9.641562,1.020607138,TreePL
225,  ,internal,15.276117,14.97057,1.020409844,TreePL
226,Anthoscopus minutus,terminal,25.116365,24.612131,1.020487214,TreePL
227,  ,internal,3.223339,2.94755,1.093565504,TreePL
228,  ,internal,0.225169,0.166702,1.350727646,TreePL
229,  ,internal,1.02989,1.034875,0.995182993,TreePL
230,Chaetops frenatus,terminal,20.634213,19.865698,1.038685527,TreePL
231,Picathartes gymnocephalus,terminal,20.634213,19.865698,1.038685527,TreePL
