,Taxon,Branch Type,l1,l2,l1/l2,Method
32,  ,internal,25.341,26.4787,0.957033389,MD-CAT
33,  ,internal,0.1181,0.7217,0.163641402,MD-CAT
34,  ,internal,7.0029,7.7039,0.909007126,MD-CAT
401,Chunga burmeisteri,terminal,4.7407,9.6575,0.490882734,MD-CAT
36,  ,internal,98.0076,60.7075,1.614423259,MD-CAT
451,Colius striatus,terminal,18.1551,35.4317,0.512397091,MD-CAT
452,Urocolius indicus,terminal,18.1551,35.4317,0.512397091,MD-CAT
39,  ,internal,1.0066,1.096,0.918430657,MD-CAT
394,Falco cherrug,terminal,0.5786,1.1073,0.522532286,MD-CAT
41,  ,internal,5.4567,4.8077,1.134991784,MD-CAT
395,Falco peregrinus,terminal,0.5786,1.1073,0.522532286,MD-CAT
77,Chlorodrepanis virens,terminal,1.2386,2.0927,0.591866966,MD-CAT
44,  ,internal,7.4448,6.6736,1.115559818,MD-CAT
45,  ,internal,0.2962,0.3145,0.941812401,MD-CAT
78,Hemignathus wilsoni,terminal,1.2386,2.0927,0.591866966,MD-CAT
277,Corvus brachyrhynchos,terminal,0.4771,0.7828,0.609478794,MD-CAT
48,  ,internal,4.3638,2.6934,1.620182669,MD-CAT
278,Corvus cornix,terminal,0.4771,0.7828,0.609478794,MD-CAT
50,  ,internal,0.5158,4.1614,0.123948671,MD-CAT
643,Centropus bengalensis,terminal,4.6871,7.6699,0.611103143,MD-CAT
52,  ,internal,0.7462,0.7056,1.057539683,MD-CAT
53,  ,internal,2.9567,2.4843,1.190154168,MD-CAT
644,Centropus unirufus,terminal,4.6871,7.6699,0.611103143,MD-CAT
625,Psophia crepitans,terminal,32.4997,52.8637,0.614782923,MD-CAT
56,  ,internal,0.2571,0.6521,0.394264683,MD-CAT
616,Burhinus bistriatus,terminal,29.8644,46.828,0.637746647,MD-CAT
58,  ,internal,2.3054,2.2488,1.025168979,MD-CAT
464,Pandion haliaetus,terminal,31.6064,47.8291,0.660819459,MD-CAT
164,Zosterops hypoxanthus,terminal,1.9122,2.8595,0.668718307,MD-CAT
61,  ,internal,1.2578,0.8238,1.5268269,MD-CAT
165,Zosterops lateralis,terminal,1.9122,2.8595,0.668718307,MD-CAT
63,  ,internal,2.0951,1.2324,1.700016228,MD-CAT
64,  ,internal,1.6951,1.6362,1.035998044,MD-CAT
65,  ,internal,0.8229,0.744,1.106048387,MD-CAT
475,Tyto alba,terminal,35.574,52.1185,0.682559936,MD-CAT
518,Hydrobates tethys,terminal,22.1808,31.992,0.693323331,MD-CAT
68,  ,internal,0.678,1.0643,0.637038429,MD-CAT
69,  ,internal,1.0106,0.926,1.091360691,MD-CAT
606,Charadrius alexandrinus,terminal,18.2217,25.7666,0.707182942,MD-CAT
71,  ,internal,2.03,2.9527,0.68750635,MD-CAT
607,Charadrius vociferus,terminal,18.2217,25.7666,0.707182942,MD-CAT
520,Fregetta grallaria,terminal,10.3581,13.987,0.740551941,MD-CAT
74,  ,internal,4.2243,5.1088,0.826867366,MD-CAT
521,Oceanites oceanicus,terminal,10.3581,13.987,0.740551941,MD-CAT
76,  ,internal,5.5003,5.6283,0.977257787,MD-CAT
280,Corvus moneduloides,terminal,1.6899,2.2719,0.743826753,MD-CAT
3,Crypturellus soui,terminal,7.3238,9.827,0.745273227,MD-CAT
79,  ,internal,10.0746,10.7068,0.940953413,MD-CAT
80,  ,internal,6.877,5.6775,1.211272567,MD-CAT
81,  ,internal,1.4604,1.2363,1.181266683,MD-CAT
26,Apteryx australis,terminal,0.7545,1.0115,0.745921898,MD-CAT
83,  ,internal,1.0368,0.9443,1.097956158,MD-CAT
27,Apteryx rowi,terminal,0.7545,1.0115,0.745921898,MD-CAT
462,Circaetus pectoralis,terminal,7.0968,9.48,0.748607595,MD-CAT
86,  ,internal,2.8224,3.9813,0.708914174,MD-CAT
87,  ,internal,1.5282,1.3172,1.160188278,MD-CAT
108,Chloropsis cyanopogon,terminal,8.6142,11.4942,0.749438847,MD-CAT
109,Chloropsis hardwickii,terminal,8.6142,11.4942,0.749438847,MD-CAT
90,  ,internal,15.3529,13.1195,1.170235146,MD-CAT
91,  ,internal,0.9384,0.9302,1.008815309,MD-CAT
602,Limosa lapponica,terminal,14.7545,19.5726,0.753834442,MD-CAT
542,Calypte anna,terminal,10.422,13.6845,0.761591582,MD-CAT
94,  ,internal,15.1241,14.2196,1.063609384,MD-CAT
543,Oreotrochilus melanogaster,terminal,10.422,13.6845,0.761591582,MD-CAT
593,Jacana jacana,terminal,21.1607,27.6857,0.764318764,MD-CAT
97,  ,internal,5.6845,6.2222,0.91358362,MD-CAT
98,  ,internal,3.3732,2.2864,1.4753324,MD-CAT
72,Loxia curvirostra,terminal,1.5885,2.0624,0.770219162,MD-CAT
100,  ,internal,2.6393,2.3588,1.118916398,MD-CAT
73,Loxia leucoptera,terminal,1.5885,2.0624,0.770219162,MD-CAT
102,  ,internal,0.4833,0.8341,0.579426927,MD-CAT
103,  ,internal,1.7091,1.103,1.54950136,MD-CAT
88,Prunella fulvescens,terminal,6.8628,8.8552,0.775002259,MD-CAT
105,  ,internal,0.3415,1.1293,0.302399717,MD-CAT
89,Prunella himalayana,terminal,6.8628,8.8552,0.775002259,MD-CAT
107,  ,internal,0.1231,0.0864,1.424768519,MD-CAT
704,Meleagris gallopavo,terminal,13.2773,17.076,0.777541579,MD-CAT
705,Tympanuchus cupido,terminal,13.2773,17.076,0.777541579,MD-CAT
110,  ,internal,16.7136,13.7294,1.21735837,MD-CAT
111,  ,internal,0.2206,0.2102,1.049476689,MD-CAT
493,Sula dactylatra,terminal,23.3955,30.0221,0.779275933,MD-CAT
550,Nyctibius bracteatus,terminal,15.1862,19.4448,0.78099029,MD-CAT
114,  ,internal,5.4626,3.2761,1.66740942,MD-CAT
115,  ,internal,0.2268,0.2158,1.050973123,MD-CAT
551,Nyctibius grandis,terminal,15.1862,19.4448,0.78099029,MD-CAT
117,  ,internal,0.2779,0.2825,0.983716814,MD-CAT
627,Atlantisia rogersi,terminal,12.7592,16.2004,0.787585492,MD-CAT
628,Zapornia atra,terminal,12.7592,16.2004,0.787585492,MD-CAT
120,  ,internal,2.8795,4.0106,0.717972373,MD-CAT
